signal_accuracy,observation_cost,V_no_obs,V_obs,OV,favorable
0.50,0,0.0,0.0,0.0,false
0.50,1,0.0,-1.0,-1.0,false
0.50,2,0.0,-2.0,-2.0,false
0.50,4,0.0,-4.0,-4.0,false
0.50,6,0.0,-6.0,-6.0,false
0.50,8,0.0,-8.0,-8.0,false
0.50,10,0.0,-10.0,-10.0,false
0.55,0,0.0,1.0,1.0,true
0.55,1,0.0,0.0,0.0,false
0.55,2,0.0,-1.0,-1.0,false
0.55,4,0.0,-3.0,-3.0,false
0.55,6,0.0,-5.0,-5.0,false
0.55,8,0.0,-7.0,-7.0,false
0.55,10,0.0,-9.0,-9.0,false
0.60,0,0.0,2.0,2.0,true
0.60,1,0.0,1.0,1.0,true
0.60,2,0.0,0.0,0.0,false
0.60,4,0.0,-2.0,-2.0,false
0.60,6,0.0,-4.0,-4.0,false
0.60,8,0.0,-6.0,-6.0,false
0.60,10,0.0,-8.0,-8.0,false
0.70,0,0.0,4.0,4.0,true
0.70,1,0.0,3.0,3.0,true
0.70,2,0.0,2.0,2.0,true
0.70,4,0.0,0.0,0.0,false
0.70,6,0.0,-2.0,-2.0,false
0.70,8,0.0,-4.0,-4.0,false
0.70,10,0.0,-6.0,-6.0,false
0.80,0,0.0,6.0,6.0,true
0.80,1,0.0,5.0,5.0,true
0.80,2,0.0,4.0,4.0,true
0.80,4,0.0,2.0,2.0,true
0.80,6,0.0,0.0,0.0,false
0.80,8,0.0,-2.0,-2.0,false
0.80,10,0.0,-4.0,-4.0,false
0.90,0,0.0,8.0,8.0,true
0.90,1,0.0,7.0,7.0,true
0.90,2,0.0,6.0,6.0,true
0.90,4,0.0,4.0,4.0,true
0.90,6,0.0,2.0,2.0,true
0.90,8,0.0,0.0,0.0,false
0.90,10,0.0,-2.0,-2.0,false
0.95,0,0.0,9.0,9.0,true
0.95,1,0.0,8.0,8.0,true
0.95,2,0.0,7.0,7.0,true
0.95,4,0.0,5.0,5.0,true
0.95,6,0.0,3.0,3.0,true
0.95,8,0.0,1.0,1.0,true
0.95,10,0.0,-1.0,-1.0,false
